2016-10-01 08:54:09.9324 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet detected. |  
2016-10-01 08:54:09.9548 | VeraHuesBridge.SSDPService | INFO | Sending SSDP setup information... |  
2016-10-01 08:54:09.9685 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.6468 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:24.6644 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:24.6859 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:24.7010 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.7142 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:24.7142 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:24.7357 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:24.7474 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.7669 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:24.7777 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:24.7884 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:24.8695 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.8822 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:24.8822 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:24.9134 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
2016-10-01 08:54:24.9134 | VeraHuesBridge.SSDPService | INFO | Restarted Multicast Receiver. |  
2016-10-01 08:54:24.9359 | VeraHuesBridge.SSDPService | INFO | Received a UDP multicast from IP [239.255.255.250], on port [1900]. |  
2016-10-01 08:54:24.9461 | VeraHuesBridge.SSDPService | INFO | Testing if message is SSDP Discovery Packet... |  
2016-10-01 08:54:24.9461 | VeraHuesBridge.SSDPService | INFO | SSDP Discovery Packet not detected. |  
